100 10000
A 35 20
B 93 75
B 81 9
B 38 63
A 71 10
A 8 36
A 33 8
B 6 68
B 43 83
B 36 93
A 75 36
A 57 72
A 10 3
A 16 30
A 24 79
A 66 45
B 3 89
B 62 100
A 93 12
B 95 51
A 50 8
B 79 78
B 32 21
B 51 87
B 7 91
A 86 62
B 96 17
B 5 93
B 23 92
B 5 22
B 80 69
B 95 94
B 8 84
B 35 72
B 19 47
A 78 9
A 63 45
B 44 67
B 58 11
A 36 48
B 81 9
B 21 56
A 24 59
B 49 60
A 31 72
A 78 70
B 64 6
B 30 46
A 69 29
B 78 17
B 8 24
B 3 89
A 54 71
A 42 6
B 24 18
B 63 76
B 96 79
A 37 98
A 20 57
A 98 15
B 30 42
B 37 8
A 9 26
B 25 21
A 40 9
B 37 28
B 85 13
B 28 71
B 36 13
B 55 45
A 37 36
B 66 91
B 97 63
A 68 86
A 37 87
B 23 82
B 81 69
A 32 73
A 34 2
A 62 42
A 28 62
A 33 39
B 2 50
A 78 100
A 35 95
B 9 51
B 51 47
B 92 25
A 57 97
B 8 34
B 61 76
A 85 97
B 97 28
B 1 11
B 56 19
B 26 32
A 34 43
A 29 57
A 63 1
B 76 34
B 57 14
A 93 100
A 80 36
A 32 75
B 64 76
A 83 50
B 4 77
B 87 74
A 87 97
B 36 85
A 27 61
B 86 51
B 92 12
A 18 98
A 68 54
B 28 76
A 25 7
A 53 12
A 44 81
A 7 48
A 57 44
A 51 70
A 36 59
A 62 39
A 96 54
B 75 30
B 66 98
B 88 34
B 6 15
A 12 29
A 46 4
A 11 13
A 16 55
B 69 86
A 2 40
B 59 91
A 65 77
B 74 98
B 29 90
A 55 72
A 42 53
B 90 74
B 5 73
A 42 27
B 85 82
B 24 98
B 95 42
B 63 52
A 98 62
A 49 46
B 89 39
A 36 35
B 39 75
B 17 41
B 92 32
A 18 46
B 53 19
B 75 90
A 20 91
A 5 26
A 86 6
B 64 81
B 20 42
B 69 63
B 68 46
A 17 69
A 57 58
A 79 24
B 97 47
B 28 47
B 9 19
B 91 57
B 5 33
A 29 24
B 71 5
A 73 14
B 46 32
B 20 11
A 64 49
B 50 7
A 91 24
A 95 30
A 11 20
B 12 62
A 57 97
B 30 44
B 71 51
A 94 68
A 59 21
B 47 34
A 41 4
B 70 96
B 22 48
B 46 18
B 58 66
A 47 81
A 35 100
B 100 34
B 43 76
A 26 45
B 74 20
A 7 77
B 26 79
B 14 46
A 99 39
B 8 33
B 70 98
A 28 43
A 29 70
A 52 70
A 45 40
A 10 56
A 9 55
A 21 54
A 75 98
B 70 99
A 82 74
A 92 45
A 4 96
A 87 96
B 71 63
A 61 18
A 94 17
A 83 23
B 76 31
A 90 7
B 27 52
B 87 7
B 1 33
A 13 76
B 94 61
A 37 20
B 26 84
A 55 37
A 58 21
A 94 2
B 17 74
B 15 16
A 84 78
B 56 41
B 6 63
A 44 77
B 98 5
A 13 57
A 18 25
A 81 25
B 89 31
A 49 7
B 2 20
A 87 73
A 10 82
B 44 59
A 14 50
B 21 16
B 83 92
B 45 77
B 27 93
B 13 81
B 84 7
A 90 15
B 20 62
B 73 12
B 89 54
B 50 4
B 95 82
B 92 39
B 72 16
A 59 22
B 14 46
B 64 5
A 41 42
B 11 23
A 60 26
B 99 100
B 76 62
B 85 9
B 56 2
B 61 64
A 2 47
A 89 34
B 18 100
A 74 25
B 2 45
B 67 30
B 75 90
A 52 14
B 54 71
B 61 19
B 68 30
B 4 41
B 75 62
A 9 26
B 9 11
B 32 70
B 46 78
B 11 41
A 44 8
B 19 62
A 26 70
A 85 50
A 10 65
B 99 45
A 4 70
A 47 93
A 96 29
B 99 70
A 23 62
A 7 50
B 23 59
B 73 10
A 98 60
B 37 22
A 49 38
A 90 62
B 83 53
A 10 18
B 10 97
B 15 18
B 91 69
A 40 99
A 10 86
B 33 53
B 40 80
B 47 98
A 50 4
B 63 96
A 23 33
A 63 69
B 47 8
B 11 51
B 65 13
B 3 67
B 93 45
B 90 98
A 78 19
A 27 50
A 30 95
A 3 87
A 68 78
A 9 61
B 83 75
A 57 14
B 11 57
A 40 3
A 28 7
A 52 11
A 47 3
B 80 76
B 38 85
B 91 46
B 23 83
A 92 59
A 75 64
B 49 46
B 5 52
A 64 34
B 94 69
A 73 52
A 19 95
A 59 14
B 95 82
A 23 14
A 30 4
B 97 96
B 18 3
B 38 43
A 14 23
B 12 78
B 94 3
B 45 13
B 39 16
A 74 61
A 70 30
B 83 46
A 6 5
A 47 98
A 5 33
A 53 63
A 77 15
B 39 97
B 44 72
A 96 35
B 14 86
B 47 7
B 87 78
A 75 89
A 63 71
A 40 42
A 14 95
A 22 35
B 93 100
A 87 26
A 28 99
B 31 58
B 1 2
A 56 14
B 70 69
A 94 79
B 57 54
B 79 80
A 77 84
B 7 48
A 11 33
B 6 37
A 91 28
B 49 99
A 21 39
B 97 35
A 79 52
B 42 12
A 17 62
B 80 100
B 35 32
A 31 11
A 40 83
B 43 13
B 31 30
B 54 68
A 90 93
B 48 77
B 73 70
B 46 67
B 17 36
A 27 13
B 33 93
B 11 83
A 83 59
A 30 97
B 90 51
B 26 50
A 54 1
B 8 7
A 76 21
B 10 53
A 13 59
B 88 73
A 49 16
A 13 32
B 74 93
B 34 3
A 82 53
B 64 35
A 6 17
A 33 92
B 13 58
B 47 91
A 96 97
B 11 64
B 12 76
A 5 57
B 15 51
A 33 72
A 39 60
B 79 99
A 80 39
B 63 96
A 37 9
A 84 74
B 89 51
B 49 76
B 27 35
A 85 60
A 28 78
A 24 98
B 69 8
B 14 99
B 8 75
A 67 95
B 34 89
B 95 22
B 53 5
B 29 68
B 61 79
B 49 80
B 76 57
A 39 49
B 33 42
B 66 7
A 35 29
B 77 55
A 14 48
A 43 8
A 66 35
B 76 34
B 95 14
A 60 75
B 29 8
B 9 11
A 85 26
B 80 3
A 69 43
B 54 20
A 6 20
B 63 29
A 63 16
A 92 83
A 6 37
A 50 79
A 12 35
B 57 79
B 37 78
B 63 41
B 87 73
B 40 6
A 42 31
A 86 66
A 65 53
B 22 51
A 87 61
B 36 48
B 37 82
B 28 81
A 76 87
A 50 51
A 38 33
B 53 94
B 49 17
B 9 27
A 40 83
A 41 27
B 7 77
B 91 83
A 59 52
A 78 61
B 95 23
B 58 22
A 51 27
A 26 24
A 36 75
A 65 2
B 80 4
B 67 15
A 85 73
B 8 73
A 57 20
B 49 95
A 75 2
A 97 48
A 3 84
B 75 73
B 99 61
B 70 64
B 57 3
B 32 23
B 90 76
B 3 10
A 86 85
A 25 60
B 71 78
B 73 49
B 93 48
A 82 29
A 14 72
A 15 33
A 11 92
B 94 84
B 62 98
B 53 50
A 8 58
A 40 25
A 85 27
A 21 11
A 52 94
A 50 32
A 36 26
B 24 15
B 35 22
A 82 89
B 74 53
A 86 64
B 73 43
A 60 30
B 57 100
B 7 100
B 75 25
B 86 54
A 23 94
A 99 47
A 64 48
B 88 6
B 98 4
B 22 32
A 64 96
B 94 18
A 53 19
B 11 51
A 72 81
B 20 40
B 46 44
B 40 92
B 97 46
A 95 53
A 88 54
A 40 62
B 20 49
B 87 77
A 66 54
A 78 39
A 26 76
B 59 96
B 50 96
B 38 4
A 82 66
A 18 90
B 34 2
A 13 66
A 14 16
A 89 99
B 21 26
B 41 36
B 25 40
A 87 18
B 22 19
B 94 52
B 57 54
A 85 41
B 62 38
B 56 32
B 3 62
B 91 57
A 61 34
B 89 49
A 70 97
A 15 8
B 5 89
A 49 96
B 29 26
B 23 21
A 51 25
A 21 47
B 26 36
A 99 27
B 95 50
B 46 66
B 95 40
A 68 60
B 44 78
B 27 96
A 65 14
A 21 71
B 8 74
A 50 59
B 66 68
A 9 41
A 82 66
A 39 93
B 66 28
A 26 22
A 14 81
A 69 92
A 24 72
B 46 96
A 10 35
B 58 30
A 79 26
B 55 93
B 20 47
A 55 63
A 88 70
B 27 30
A 28 99
A 55 98
B 17 25
B 79 27
B 67 12
A 57 88
A 89 12
A 87 83
B 35 59
A 81 72
B 17 32
A 49 32
B 89 97
